N° UNICO CONSECUTIVO DE IDENTIFICACION,ESTADO DEL ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,RAZON SOCIAL,NIT,REPRESENTANTE LEGAL,DIRECCION O UBICACION DEL ESTABLECIMIENTO,CONCEPTO SANITARIO VIGENTE,"LINEA SUBCATEGGORIA DE ALIMENTOS
(Productos elaborados o Procesados)"
5694,1 ACTIVO,ANTIOQUIA,ENVIGADO,MURILLO GARCIA JESUS MARIA PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO CUCURUCHOS JM,154807680,JESUS MARIA MURILLO GARCIA,CR 46 A No 45 BB SUR - 08,FAVORABLE,GALLETAS DULCES
5695,1 ACTIVO,ANTIOQUIA,ENVIGADO,OROZCO MADRID NATALIA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO BAKERS HOME MADE,435600403,NATALIA OROZCO MADRID,CR 37 No 38 SUR - 32,FAVORABLE CON OBSERVACIONES,WAFFLES VARIEDADES
5696,1 ACTIVO,ANTIOQUIA,ENVIGADO,HOYOS JIMENEZ HORACIO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PA´ PICAR,82953697,HORACIO HOYOS JIMENEZ,CR 41 A No 40 SUR - 38,FAVORABLE CON OBSERVACIONES,CORTES DE CARNE DE CERDO CONDIMENTADA CON Y SIN AHUMADO VARIEDADES;COSTILLA;TOCINETA;CHULETAS;TOCINO;TOCINITOS;OSSOBUCO;SOLOMITO;LOMO (CAÑON) Y PEZUÑAS;PASABOCAS PREFRITOS A BASE DE MAIZ VARIEDADES;EMPANADAS;PASTELES Y ROLLITOS CON CARNE;TORTAS Y PONQUES VARIEDADES
5697,1 ACTIVO,ANTIOQUIA,MEDELLIN,PANIFICADORA PRODUPAN SAS,9003102635,JOSE IGNACIO DE LOS RIOS MARTINEZ,CL 79 No 65 - 351,FAVORABLE,"PAN Y PRODUCTOS DE PANADERÍA; CUCAS, CALADOS, CROISANES"
5700,1 ACTIVO,ANTIOQUIA,ENVIGADO,PRODIA SAS,8001718096,ORLANDO JOSE LACOUTURE CORREA,CR 46 No 48 C SUR  - 40 BD 107  Y 116,FAVORABLE,COLORANTRES Y ADITIVOS SÓILIDOS (TOPPINGS);ESENCIAS
5705,1 ACTIVO,ANTIOQUIA,ENVIGADO,PUERTO COMERCIAL LTDA,8110296649,ALEJANDRO GARCIA OCAMPO,TR 32 A SUR No 31 E 69,FAVORABLE CON OBSERVACIONES,BEBIDA A BASE DE JENGIBRE
5706,1 ACTIVO,ANTIOQUIA,ENVIGADO,SERVI EXPRESS SAS,8110384737,GLORIA INES HOYOS SIERRA,CR 45 No 29 A SUR 37,FAVORABLE CON OBSERVACIONES,PANES VARIEDADES;CROISANT ;PAN DULCE;PAN CON AREQUIPE;PAN DULCE CON GUAYABA;PASTEL DE JAMON Y QUESO;PASTEL HAWAINO;PALITOS DE QUESO
5717,1 ACTIVO,ANTIOQUIA,FRONTINO,COOPERATIVA COLANTA LTDA (CENTRO DE ACOPIO DE LECHE),8909044786,SERGIO GONZALEZ VILLA,CR 29 No 32 - 28 VI MANGURUMA,FAVORABLE CON OBSERVACIONES,ACOPIO;ENFRIADO Y ALMACENAMIENTO DE LECHE CRUDA
5718,1 ACTIVO,ANTIOQUIA,GIRARDOTA,CATAÑO YULI MARCELA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO DULCES LA MIMADA,429029411,YULI MARCELA CATAÑO,CR 12 No 5 - 30 BR LA CEIBA,FAVORABLE CON OBSERVACIONES,PANELITAS DE LECHE Y COCO
5719,1 ACTIVO,ANTIOQUIA,GIRARDOTA,DERIVADOS DE LA CAÑA EL HACENDADO ESTABLECIMIENTO DE COMERCIO DE PROPIEDAD DE CARLOS MARIO GOMEZ VASQUEZ,709772122,CARLOS MARIO GOMEZ VASQUEZ,VDA LA MESETA (CABILDO PREDIO 151 No 11 - 193),FAVORABLE,"GELATINA DE PATA DE RES VARIEDADES NEGRA Y BLANCA, BLANQUEADO"
5720,1 ACTIVO,ANTIOQUIA,GIRARDOTA,INDUSTRIA DE GALLETAS GRECO SA,8110179208,SPYRIDON GONGAS PANARETU,AU NORTE KM 20 VDA SAN ESTEBAN,FAVORABLE,GALLETAS DULCES
5722,1 ACTIVO,ANTIOQUIA,GIRARDOTA,OCCIDENTAL DE EMPAQUES SA - ODEMPA SA,8909118992,CARLOS IGNACIO TRILLOS GONZALEZ,"KM 20 AU NORTE, VDA SAN ESTEBAN",FAVORABLE,CELULOSICOS
5727,1 ACTIVO,ANTIOQUIA,GRANADA,ASOCIACION DE GANADEROS DEL MUNICIPIO DE GRANADA ANTIOQUIA ASOGRAN,8110158621,JHON DARIO GIRALDO MONTES,VDA SAN ESTEBAN PARAJE EL CEBADERO,FAVORABLE CON OBSERVACIONES,CENTRO DE ACOPIO DE LECHE
5729,1 ACTIVO,ANTIOQUIA,GUARNE,ALVAREZ ZAPATA FREDY ALBERTO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO CAFRIORIENTE,707537368,FREDY ALBERTO ALVAREZ ZAPATA,CL 41 A No 48 - 98,FAVORABLE,MORTADELA DE POLLO Y MIXTA;PASTEL DE VERDURA;SALCHICHA MANGUERA;SALCHICHON COMUN Y CERVECERO;BUTIFARRA;JAMONADA
5737,1 ACTIVO,ANTIOQUIA,GUARNE,OCHOA GOMEZ RODOLFO LEON PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO AREPAS DE LA CAPILLA SN,10384060099,RODOLFO LEON OCHOA GOMEZ,CR 52 No 56 - 27,FAVORABLE CON OBSERVACIONES,AREPAS DE MAIZ VARIEDADES
5740,1 ACTIVO,ANTIOQUIA,GUARNE,CARDONA LONDOÑO Y COMPAÑIA SAS,8110239796,EDGAR ALONSO CARDONA CASTAÑO,AU MEDELLIN BOGOTA KM 21 RETORNO No 6,FAVORABLE,DULCE DE COCO (MANZANITAS)
5744,1 ACTIVO,ANTIOQUIA,ITAGUI,A-ABACHAR COMERCIALIZADORA SAS,9004719349,CARLOS MARIO MONTOYA COOK,CL 77 A No 45 A - 178,FAVORABLE,SALSAS;MASAS PARA PIZZA;ALISTAMIENTO DE MATERIAS PRIMA PARA PUNTOS DE VENTA;ENSALADAS Y CARNES ADOBADAS
5748,1 ACTIVO,ANTIOQUIA,ITAGUI,ALIMENTOS GELA SAS,9006968734,ANDRES Gómez LEON,CR 52 D No 76 - 52,FAVORABLE,MANI VARIEDADES;GRANOLA;DULCES DE COCO;ACEITE DE COCO;CONFITURAS;ENVASE DE NUEZ;ALMENDRA;UVA PASA;CIRUELA PASA;VITA CRISTALIZADA Y AJONJOLI
5752,1 ACTIVO,ANTIOQUIA,ITAGUI,AMAYA PELAEZ LEIDY JOHANNA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO CONSERVAS SABORES DEL EDEN,431803596,LEIDY JOHANNA AMAYA PELAEZ,CR 57 No 56 A - 36 (34) PI 1 Y PI  4,FAVORABLE,FRUTAS EN ALMIBAR;SALSASVARIEDADES Y VINAGRE VARIEDADES
5759,1 ACTIVO,ANTIOQUIA,ITAGUI,ASADOS LLANEROS SAS,9006181949,MARIA LILIANA HENAO DIAZ,CR 52D No 76 - 67; BG 142; CC PLATINO PLAZA,FAVORABLE,"CHORIZO DE CERDO, CARNE DE HAMBURGUESA, TOCINETA Y COSTILLA AHUMADA"
5763,1 ACTIVO,ANTIOQUIA,ITAGUI,BIMBO DE COLOMBIA SA / BIMBO DE COLOMBIA PLANTA ITAGUI,8300023660,CARLOS ALBERTO SALCEDO DIAZ,CL 31 No 50 B  - 22,FAVORABLE,PANES LEUDADOS CON LEVADURA (LÍNEA PANES);PRODUCTOS DE PANADERIA DULCE (LINEA TRADICIONAL)
5765,1 ACTIVO,ANTIOQUIA,ITAGUI,CERVECERIA UNION SA,8909001681,ANDRES CRISTANCHO BERNAL,CR 50 A No 38 - 39,FAVORABLE CON OBSERVACIONES,CERVEZA
5766,1 ACTIVO,ANTIOQUIA,ITAGUI,CERVECERIA UNION SA,8909001681,ANDRES CRISTANCHO BERNAL,CR 50 A No 38 - 39,FAVORABLE,BEBIDA DE MALTA
5767,1 ACTIVO,ANTIOQUIA,ITAGUI,CI BODEGAS ALICANTE SAS,8909384926,MARIA ADELAIDA GOMEZ ARANGO,CL 77A No 45A - 134,FAVORABLE CON OBSERVACIONES,VINOS;APERITIVOS NO VINICOS;COCTELES
5768,1 ACTIVO,ANTIOQUIA,ITAGUI,CI BODEGAS ALICANTE SAS,8909384926,MARIA ADELAIDA GOMEZ ARANGO,CL 77 A No 45 A - 134,FAVORABLE,BEBIDA EMBRIAGANTE VARIEDADES
5770,1 ACTIVO,ANTIOQUIA,ITAGUI,COLOMBIANA DE SABORES SAS(COLSABOR SAS),8110039619,ELIANA MARIA RODRIGUEZ RESTREPO,CR 45 A No 67 B - 101 INTERIOR 120 BR SIMON BOLIVAR,FAVORABLE,"POLVO PARA HORNEAR,SABORESEN POLVO,EMPAQUE DE AZUCAR PULVERIZADA,ESENCIAS,SABORES CONCENTRADOS,GLASEADOS"
5771,1 ACTIVO,ANTIOQUIA,ITAGUI,COLOMBIANA FLEXOGRAFICA DE PLASTICOS SAS (COLDEPLAST),8909057904,JAIME ALBERTO PALACIO BOTERO,CR 42 No 53 - 116 AU SUR,FAVORABLE,EMPAQUES PARA ALIMENTOS
5772,1 ACTIVO,ANTIOQUIA,ITAGUI,PRODUCTOS LACTEOS ROBIN HOOD SA - PLRH SA CONTROLADA POR COLOMBINA SA,8901061321,FLORENCIA PEÑA LOPEZ;ALFREDO FERNANDEZ DE SOTO SAAVEDRA,CL 72 No 44 - 88,FAVORABLE,"HELADOS A BASE DE LECHE, HELADOS DE LECHE CON GRASA VEGATA L, HELADOS CON GRASA VEGETAL, HELADOS DE AGUA"
5774,1 ACTIVO,ANTIOQUIA,ITAGUI,COMERCIALIZADORA ANDIGRANOS SAS,8110453720,JAIME ALCIDES ZULUAGA QUINTERO,CENTRAL MAYORISTA BQ 4 LOCAL 13,FAVORABLE,MAIZ TRILLADO
5779,1 ACTIVO,ANTIOQUIA,ITAGUI,COMESTIBLES DAN SA,8909084935,JOSE ALIRIO BUSTAMANTE OSORNO,CR 41 No 46 - 81,FAVORABLE,SALCHICHA; JAMON;BUTIFARRA; SALCHICHON; MORTADELA; MORCILLA; CHORIZO; HAMBURGUESA PRECOCIDA; COSTILLA DE CERDO AHUMADA; PRODUCTOS CARNICOS PROCESADOS DE BAJA ACIDEZ; VEGETALES DE BAJA ACIDEZ.
5780,1 ACTIVO,ANTIOQUIA,ITAGUI,COMESTIBLES MAXIRICOS SAS,8305143858,GLADYS OFELIA OCAMPO LONDOÑO,CL 37 No 39 - 41,FAVORABLE,CHORIZOS;SALCHICHAS;SALCHICHON;MORTADELA;OTROS
5783,1 ACTIVO,ANTIOQUIA,ITAGUI,CONTINENTAL DE GRANOS MAYORISTA SAS,9003738444,WILSON AUGUSTO HOYOS GOMEZ,CL 77 No 48 - 21 BQ 1 LC 4 CENTRAL MAYORISTA,FAVORABLE CON OBSERVACIONES,MAIZ TRILLADO BLANCO Y AMARILLO
5785,1 ACTIVO,ANTIOQUIA,ITAGUI,DULCES FLOWER SAS,8110063004,BERNARDO DE JESUS ESPINOSA FLOREZ,CL 51 No 40 - 125,FAVORABLE,LECHE CONDENSADA;AREQUIPE/DULCE DE LECHE;CERNIDO DE GUAYABA
5786,1 ACTIVO,ANTIOQUIA,ITAGUI,DULCES Y CONSERVAS LAS LOLAS SAS,8110468084,JUAN CARLOS MORENO GALEANO,CL 76 No 47 - 39,FAVORABLE,PULPAS DE FRUTAS VARIEDADES
5787,1 ACTIVO,ANTIOQUIA,ITAGUI,EMPAQUES Y CONTENIDOS SAS,9000299090,CRUZ EMILIA ARISTIZABAL VASQUEZ,CL  46  No 41 - 82 ZN INDUSTRIAL,FAVORABLE CON OBSERVACIONES,"PANELA, ENDULZANTES DE MESA, MEZCLA PARA TORATAS, DULCES, COLAGENO, SALSAS"
5791,1 ACTIVO,ANTIOQUIA,ITAGUI,FRESTOLU SAS,8110357516,JUAN JOSE TRUJILLO TURIZO,CL 46 No 41 - 70 ZN INDUSTRIAL DE ITAGUI,FAVORABLE,CAMARON Y LANGOSTINO CRUDOS;PELADOS;DESVENADOS Y/O PRECOCIDOS
5792,1 ACTIVO,ANTIOQUIA,ITAGUI,GALLO ZAPATA ALVARO DE LA CRUZ PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO EMPAQUETADOS LA ESTRELLA,708103306,GALLO ZAPATA ALVARO DE LA CRUZ,CL 85 B No 48 - 47,FAVORABLE,MAIZ TRILLADO Y REEMPAQUE DE AZUCAR
5795,1 ACTIVO,ANTIOQUIA,ITAGUI,GRANOS Y CEREALES DEL CAMPO SAS,8110341078,OSCAR ALONSO ARISTIZABAL GOMEZ,CL 85 No 48 - 01 BQ 3 LOCALES 16 Y 17 CENTRAL MAYORISTA DE ANTIOQUIA,FAVORABLE,MAIZ TRILLADO BLANCO Y AMARILLO;HARINA DE MAIZ;MEZCLA DE MAIZ TRIILADO Y HARINA DE MAIZ PARA PREPARAR MAZAMORRA
5799,1 ACTIVO,ANTIOQUIA,ITAGUI,GRUPO FRUTELLI SAS,9005282893,MARIANO RESTREPO ESTRADA,CL 85 No 48 - 01 BL 28 LC 3 CENTRAL MAYORISTA,FAVORABLE,JUGOS DE FRUTAS
5801,1 ACTIVO,ANTIOQUIA,ITAGUI,IDEAS EN PLASTICO LTDA - IDEPLAST LTDA,8001261335,DARIO ALBERTO LONDOÑO VEGA,CR 64 No 35 - 28,FAVORABLE CON OBSERVACIONES,EMPAQUES PARA ALIMENTOS
5802,1 ACTIVO,ANTIOQUIA,ITAGUI,INDUMEZMAO SAS,9004170923,LUZ MARY ARBELAEZ GIL,CL 85 No 50 - 50 BG 104 Y 105,FAVORABLE,MEZCLA LISTA PARA PREPARAR BUÑUELOS;NATILLA;EMPANADAS
5803,1 ACTIVO,ANTIOQUIA,ITAGUI,INDUSTRIAS ALIMENTICIAS 3JJJ SAS,9005696963,GLORIA YANET PATIÑO PEREZ,CL 84 No 42- 121,FAVORABLE CON OBSERVACIONES,MEZCLAS EN POLVO PARA PREPARAR NATILLA;PANDEBONOS Y BUÑUELOS
5812,1 ACTIVO,ANTIOQUIA,ITAGUI,MUNDIAL DE GRANOS Y PANELAS SAS,8110377816,JOSE IGNACIO DUQUE SERNA,CL 84 A No 47 - 50 BQ 7 LOCAL 17 CENTRAL MAYORISTA,FAVORABLE,MAIZ TRILLADO;EMPAQUE DE AZUCAR
5813,1 ACTIVO,ANTIOQUIA,ITAGUI,OMEGA DE PLASTICOS SA,8002245868,JAIME ALBERTO JARAMILLO GARCES,CR 42 No 75 - 355 / 343,FAVORABLE CON OBSERVACIONES,EMPAQUES PARA ALIMENTOS
5815,1 ACTIVO,ANTIOQUIA,ITAGUI,PLASTICOS DESECHABLES DE COLOMBIA SA,8909240345,JOSE GABRIEL GUEVARA DEL CASTILLO,AV 37B No 44-31,FAVORABLE,EMPAQUES PARA ALIMENTOS
5816,1 ACTIVO,ANTIOQUIA,ITAGUI,PLASTICOS G Y C SAS,8110107034,ORLANDO DE JESUS COSIO,"CR 50 No 43 - 13, INT 105 PARQUE INDUSTRIAL SATEXCO",FAVORABLE CON OBSERVACIONES,EMPAQUES PARA ALIMENTOS
5818,1 ACTIVO,ANTIOQUIA,ITAGUI,PROCESADORA NACIONAL DE CEREALES SA - PRONALCE SA,8110227154,BALKIS FLOREZ RAMIREZ,CR 50A No 43-13 BG 103 PQ SATEXCO,FAVORABLE,CEREALES PARA EL DESAYUNO;HARINAS DE AVENA Y OTROS CEREALES
5822,1 ACTIVO,ANTIOQUIA,ITAGUI,ALIMENTOS ESTILO GOURMET SAS,8909389593,MAURICIO GONZALEZ LEMOS,CR 42 No 50A-28,FAVORABLE,"SALSAS DE FRUTAS Y VERDURAS, FRUTAS EN ALMIBAR, ENCURTIDOS, HORTAILIZAS EN CONSERVA DE BAJA ACIDEZ"
5825,1 ACTIVO,ANTIOQUIA,ITAGUI,PRODUCTOS SEBA SEBA SA,8000031939,OLGA LUCIA VELASQUEZ MARTINEZ,CL 85 No 50 - 50 BDG 101,FAVORABLE CON OBSERVACIONES,PANES Y CALADOS DE DIFERENTES VARIEDADES
5826,1 ACTIVO,ANTIOQUIA,ITAGUI,PRODUCTOS TIA AMPARO SAS,9001333752,BEDMAR CESAR TORRES CORTES,CL 36 No 53 B - 43,FAVORABLE,AREPAS VARIEDADES;AREPAS DE MAIZ;AREPAS DE CHOCOLO
5827,1 ACTIVO,ANTIOQUIA,ITAGUI,PRODUCTOS YUPI SAS,8903155408,LUIS EDUARDO PEREZ HERNANDEZ,CR 50 A No 43 - 13 PARQUE INDUSTRIAL SATEXCO BD 113 Y 114,FAVORABLE,PASABOCAS EXTRUIDOS Y HORNEADOS
5828,1 ACTIVO,ANTIOQUIA,MEDELLIN,PROMOTORA PICCOLO SAS,8001929696,MARIA CRISTINA JIMENEZ SALDARRIAGA,CL 9 No 43 B - 43,FAVORABLE,"PASTAS ALIMENTICIAS Y FIDEOS CON O SIN TRATAMIENTO, CON O SIN HUEVO;CARNE Y PRODUCTOS CARNICOS COMESTIBLES;DERIVADOS CARNICOS FRESCOS,TRATADOS O NO TERMICAMENTE;SALSAS NO EMULSIONADAS,SALSA PIZZA,NAPOLITANA,BOLOÑESA;OTROS TIPOS DE SALSAS NO EMULSIONADAS;OTROS ALIMENTOS COMPUESTOS."
5829,1 ACTIVO,ANTIOQUIA,ITAGUI,RAMIREZ GARCIA JUAN RODRIGO PROPIETARIO DEL ESTABLEICMIENTO DE COMERCIO TRILLADORA SINU,700441912,JUAN RODRIGO RAMIREZ GARCIA,CL 85 No 48 - 01 BQ 11 LOCAL 26 CENTRAL MAYORISTA DE ANTIOQUIA,FAVORABLE,MAIZ TRILLADO BLANCO Y AMARILLO
5832,1 ACTIVO,ANTIOQUIA,ITAGUI,RESTREPO OSORIO JORGE FREDY PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO AROMAR FRAGANCE INTERNACIONAL,716462839,JORGE FREDY RESTREPO OSORIO,CR 48 No 53A - 15 BR LOS NARANJOS,FAVORABLE CON OBSERVACIONES,SABORIZANTES
5833,1 ACTIVO,ANTIOQUIA,ITAGUI,RICO PALO SAS,9003801295,FAUSTO ALEXANDER PINO CORREA,CL 56 No 51 - 56,FAVORABLE CON OBSERVACIONES,PALITOS DE QUESO;PANZEROTIS
5842,1 ACTIVO,ANTIOQUIA,ITAGUI,SURTICEREALES MEDELLIN SAS,9006315271,JUAN DIEGO PEÑA RESTREPO,CR 54 No 79 - 11 SEGUNDO PISO,FAVORABLE CON OBSERVACIONES,CEREALES VARIEDADES
5843,1 ACTIVO,ANTIOQUIA,ITAGUI,SUSI SAS,8110265360,SUSANNE HELGA SEIFERT FRIND,CL 67B No 45 A - 130,FAVORABLE,MERENGUES;CEREALES SOPLADOS;PANES LEUDADOS CON LEVADURA;GALLETAS CRUJIENTES DE CEREAL SOPLADO
5844,1 ACTIVO,ANTIOQUIA,ITAGUI,TECNAS SA,8000110024,LUZ MARINA JARAMILLO HENAO,CR 50G No 12 SUR - 29,FAVORABLE,SALSAS NO EMULSIFICADAS Y MATERIAS PRIMAS PARA LA INDUSTRIA DE ALIMENTOS
5846,1 ACTIVO,ANTIOQUIA,ITAGUI,TRICOLOMBIAAA SAS,9006897024,JOSE ALBERTO DUQUE DUQUE,CL 85 No 48 -01 BQ 3 LC 10 O INT 0310,FAVORABLE,MAIZ TRILLADO
5847,1 ACTIVO,ANTIOQUIA,ITAGUI,TRIGUISAR DE COLOMBIA SA,8909032531,LUIS HORACIO FUENTES VALENZUELA,CL 32 No 41 - 56,FAVORABLE,ESPECIES EN POLVO PURAS(OREGANO;TOMILLO;CANELA;GUASCA;CLAVO Y COMINO);MEZCLA COLORANTES;CONDIMENTO COMPLETO;BICARBONATO DE SODIO;ABLANDACIONES
5851,1 ACTIVO,ANTIOQUIA,MEDELLIN,GOMEZ RAMIREZ FERNANDO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO TURKY,942519041,FERNANDO GOMEZ RAMIREZ,CR 55 No 76 - 91,FAVORABLE,CARNES DE AVES ADOBADO. MARINADO Y APANADO (CRUDOS)
5852,1 ACTIVO,ANTIOQUIA,ITAGUI,UN SOLO PROVEEDOR SAS,8110328542,JOSE PABLO MORENO LOPEZ,CR 45 A No 67B - 51,FAVORABLE,SALSAS VEGETALES VARIEDADES;TORTILLAS DE HARINA DE TRIGO;NACHOS Y TACOS DE MAIZ Y ALIMENTOS DE BAJA ACIDEZ
5853,1 ACTIVO,ANTIOQUIA,ITAGUI,VITAMAR SA,8909208793,JACQUES DE BEDOUT PEREZ,CR 46 A No 53 - 200,FAVORABLE,PRODUCTOS DE LA PESCA CRUDOS
5865,1 ACTIVO,ANTIOQUIA,JARDIN,COOPERATIVA DE CAFICULTORES DE ANDES LTDA - COOPERAN (DELOSANDES TOSTADORA DE CAFÉ),8909076381,ALEJANDRO REVOLLO RUEDA,CR 5 No 9 - 73 ED DEL CAFE SEGUNDO PI,FAVORABLE,CAFE TOSTADO EN GRANO Y MOLIDO
5866,1 ACTIVO,ANTIOQUIA,JARDIN,RESTREPO DUQUE MARIA VICTORIA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO CRIADERO DE TRUCHA LA TRUCHERIA,323984846,MARIA VICTORIA RESTREPO DUQUE,KM 5 VIA JARDIN RIOSUCIO VDA QUEBRADA BONITA,FAVORABLE,PESCADO FRESCO REFRIGERADO O CONGELADO
5870,1 ACTIVO,ANTIOQUIA,JARDIN,GIRALDO GIRALDO HERNED DE JESUS PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO AREPAS HERNED GIRALDO,708116677,HERNED DE JESUS GIRALDO GIRALDO,CL 7 No 2 - 70,FAVORABLE,AREPAS DE MAIZ
5876,1 ACTIVO,ANTIOQUIA,JARDIN,JOSE FERNANDO VELASQUEZ TORRES PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO TRUCHAS AGUA VIDA,44593254,JOSE FERNANDO VELASQUEZ TORRES,KM 5 VIA RIO SUCIO VDA QUEBRADA BONITA,FAVORABLE,TRUCHA DESHUESADA CORTE MARIPOSA
5877,1 ACTIVO,ANTIOQUIA,JARDIN,VALENCIA LOTERO GILBERTO DE JESUS PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO TRUCHERA EL ARKA,700987415,GILBERTO DE JESUS VALENCIA,VDA LA HERRERA,FAVORABLE,TRUCHA EVISCERADA FILETEADA Y CONGELADA
5878,1 ACTIVO,ANTIOQUIA,JARDIN,CARVAJAL FLORES JAIME ALBERTO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO TRUCHAS LA TULIA JAIME CARVAJAL,83477537,JAIME ALBERTO CARVAJAL FLOREZ,"VDA LA HERRERA, FI LA ESPERANZA",FAVORABLE,TRUCHA DESHUESADA CORTE MARIPOSA
5879,1 ACTIVO,ANTIOQUIA,JARDIN,ARIAS ESTRADA ALEJANDRA MANUELA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO TRUCHERA PLAYA RICA,435038151,ALEJANDRA MANUELA ARIAS ESTRADA,KM 4 VIA JARDIN RIO SUCIO VDA QUEBRADA BONITA,FAVORABLE,TRUCHA EVISCERADA Y DESHUESADA
5883,1 ACTIVO,ANTIOQUIA,JERICO,GRAJALES RESTREPO RAMON ALBEIRO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO DULCERIA JERICO,718774614,RAMON ALBEIRO GRAJALES RESTREPO,CR 3 No 9 A - 348,FAVORABLE,DULCES DE AZUCAR VARIEDADES
5885,1 ACTIVO,ANTIOQUIA,LA CEJA,ALIMENTOS CARNICOS SAS,8903041304,MATEO BETANCUR DE CASTRO,KM 3 VIA LA CEJA RIONEGRO,FAVORABLE,DERIVADOS CARNICOS VARIEDADES ENLATADOS  Y VEGETALES VARIEDADES ENLATADOS
5886,1 ACTIVO,ANTIOQUIA,LA CEJA,AREPAS CASERITAS DE ORIENTE H&M 1 SAS,9009383608,HECTOR DE JESUS POSADA MORA,CL 24 No 23A - 02,FAVORABLE,AREPAS DE MAIZ BLANCO Y AMARILLO Y AREPAS DE MAIZ CON QUESO
5887,1 ACTIVO,ANTIOQUIA,LA CEJA,OROZCO VALENCIA RIGOBERTO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO AREPAS EL CARRIEL HERMANOS VALENCIA LA CEJA ANT,707230728,RIGOBERTO OROZCO VALENCIA,CR 17 No 24 - 53,FAVORABLE,AREPAS DE MAIZ BLANCO Y AMARILLO;AREPAS CON QUESO
5888,1 ACTIVO,ANTIOQUIA,LA CEJA,ASOCIACION DE MUJERES LA ANTIOQUEÑITA,8001551281,ROSA MERY PEREZ CARDONA,CR 20 A No 12 - 25,FAVORABLE,FRUTAS EN ALMIBAR
5895,1 ACTIVO,ANTIOQUIA,LA CEJA,VALENCIA SOSA JHON JAIRO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO SOY SABOR QUE AREPA,707287093,JHON JAIRO VALENCIA SOSA,CR 23 No 23 - 16 BR OBREROS DE CRISTO,FAVORABLE,AREPAS DE MAIZ
5896,1 ACTIVO,ANTIOQUIA,MEDELLIN,YEPES BUILES MARTHA NELLY PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO CHOCOLATES DULCE TENTACION,325513581,MARTHA NELLY YEPES BUILES,CL 46 C No 16 CC - 11,FAVORABLE CON OBSERVACIONES,CACAO;CHOCOLATES;PRODUCTOS DE CONFITERIA;ALFAJORES
5897,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,ALSEC ALIMENTOS SECOS SAS,9000622014,ALEJANDRO MAURICIO VARGAS UPEGUI,CL 79 C SUR No 54 - 24,FAVORABLE,ALIMENTO PARA PROPOSITO MEDICOS ESPECIALES
5898,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,"ARENA MONTOYA JUAN RODRIGO, PROPIETARIO DE ESTABLECIMIENTO DE COMERCIO AREPAS MAMA ROSA",985288214,JUAN RODRIGO ARENAS MONTOYA,CL 74 SUR No 57 - 463,FAVORABLE CON OBSERVACIONES,AREPAS DE MAIZ VARIEDADES
5899,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,ASCENDER SA,8909285770,RAUL JAIME JARAMILLO CORREA,CR 48 B No 99 SUR - 59 BD 9 SAN BARTALOME,FAVORABLE,SALSA MOSTAZA;SALSA MAYONESA VARIEDADES
5901,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,CEREALES LA MAXI DESPENSA SAS,9003848839,OLGA LUZ SIERRA CORREA,CR 50 No 96 A SUR - 280 BD 04,FAVORABLE,"HOJUELAS AZUCARADAS (ENRIQUECIDAS CON VITAMINAS Y MINERALES), HOJUELAS DE MAIZ NATURALES (ENRIQUECIDA CON VITAMINAS Y MINERALES), ARITOS DE ARROZ Y MAIZ SABOR A FRUTAS, GRANOLAS, ARROZ ACHOCOLATADO, ARROZ SOPLADO."
5902,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,COLORQUIMICA SAS,8909172951,CARLOS ANDRES ARROYAVE CARVAJAL,CL 77 SUR No 53 - 51,FAVORABLE,COLORANTES;EMULSIFICANTES;ESTABILIZANTES;MEZCLAS DE EDULCORANTES Y PREMEZCLAS DE MIRONUTRIENTES;
